id ,CourseID,email,Name,phone
1,B01,Antwan@trent.ca,Antwan,2361793157
2,B02,Zachery@trent.ca,Zachery,2959756365
3,B03,Samuel@trent.ca,Samuel,2419319641
4,B04,Matias@trent.ca,Matias,2721081116
5,B05,Memphis@trent.ca,Memphis,2302621854
6,B06,Vaughn@trent.ca,Vaughn,2428757631
7,B07,Kolten@trent.ca,Kolten,2906989544
8,B08,Beckett@trent.ca,Beckett,2914414745
9,B09,Byron@trent.ca,Byron,3269885265
10,B010,Aiden@trent.ca,Aiden,3078807851
11,B011,Armando@trent.ca,Armando,2820592196
12,B012,Roderick@trent.ca,Roderick,2371059063
13,B013,Gideon@trent.ca,Gideon,2303055628
14,B014,Cortez@trent.ca,Cortez,2572083416
15,B015,Jax@trent.ca,Jax,3097619166
16,B016,Max@trent.ca,Max,2876109881
17,B017,Geovanni@trent.ca,Geovanni,2597574838
18,B018,Odin@trent.ca,Odin,2960028325
19,B019,Rodney@trent.ca,Rodney,3217561282
20,B020,Fisher@trent.ca,Fisher,2949674177
21,B021,Mason@trent.ca,Mason,2818216842
22,B022,Reid@trent.ca,Reid,2947474551
23,B023,Nathanael@trent.ca,Nathanael,2235058174
24,B024,Maximo@trent.ca,Maximo,2231850190
25,B025,Bobby@trent.ca,Bobby,2446060625
26,B026,Dayton@trent.ca,Dayton,3061379610
27,B027,Anderson@trent.ca,Anderson,2840964651
28,B028,Johnathon@trent.ca,Johnathon,3044328300
29,B029,Brian@trent.ca,Brian,2819615978
30,B030,Damon@trent.ca,Damon,2404093215
31,B031,Kadin@trent.ca,Kadin,2637159257
32,B032,Bryant@trent.ca,Bryant,3240923936
33,B033,Jonathon@trent.ca,Jonathon,3180167935
34,B034,Emmanuel@trent.ca,Emmanuel,2759822627
35,B035,Jaxson@trent.ca,Jaxson,2797247526
36,B036,Gerardo@trent.ca,Gerardo,2468251771
37,B037,Jake@trent.ca,Jake,2521205064
38,B038,Adonis@trent.ca,Adonis,2807558722
39,B039,Kael@trent.ca,Kael,2667475013
40,B040,Xavier@trent.ca,Xavier,2418036518
41,B041,Alden@trent.ca,Alden,2482987173
42,B042,Roberto@trent.ca,Roberto,3185261363
43,B043,Stephen@trent.ca,Stephen,2973492209
44,B044,Raiden@trent.ca,Raiden,2786453645
45,B045,Johan@trent.ca,Johan,2814773844
46,B046,Jamarion@trent.ca,Jamarion,3259694541
47,B047,Conrad@trent.ca,Conrad,2361331355
48,B048,Karter@trent.ca,Karter,2907845901
49,B049,Evan@trent.ca,Evan,2382314228
50,B050,Camren@trent.ca,Camren,2683949022
51,B051,Cohen@trent.ca,Cohen,3126171756
52,B052,Antoine@trent.ca,Antoine,3289059692
53,B053,Issac@trent.ca,Issac,3104665169
54,B054,Nick@trent.ca,Nick,2948171905
55,B055,Izaiah@trent.ca,Izaiah,3281298071
56,B056,Jaydon@trent.ca,Jaydon,2647597935
